Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2008,Chrysler,300,C HEMI,Sedan,automatic,2c3la63h98h140087,California,37,121950,silver,black,premium auto wholesale,8900,9700,800,8.24742268,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,smart,fortwo,BRABUS coupe,Hatchback,automatic,wmeej31x99k331436,California,2,72212,red,black,cig financial,4275,2100,-2175,-103.5714286,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 11:00:00
2008,chevrolet,impala,v6 ltz,,automatic,2g1wu583089168077,California,19,183367,black,black,santander consumer,4250,1900,-2350,-123.6842105,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Audi,A4,2.0T,Sedan,automatic,wauaf78e78a076474,California,34,74001,gray,black,san diego sports cars,9025,9750,725,7.435897436,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Mercedes-Benz,R-Class,R350 4MATIC,Wagon,automatic,4jgcb65e39a089936,California,34,97289,black,black,high bid trading co inc,13200,13750,550,4,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,BMW,X5,4.8i,Suv,automatic,5uxfe83588lz98828,California,42,109781,gray,beige,arrowhead auto group inc,15150,15250,100,0.6557377049,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,BMW,3 Series,335i,Coupe,manual,wbawb73558p157317,California,,126747,blue,black,honda world,10100,10000,-100,-1,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Mercedes-Benz,M-Class,ML350 4MATIC,Suv,automatic,4jgbb86e59a530830,California,39,87681,blue,beige,high bid trading co inc,17250,14000,-3250,-23.21428571,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Volkswagen,CC,Luxury,Sedan,automatic,wvwhl73c69e539442,California,28,35779,white,beige,premium auto wholesale,12100,10000,-2100,-21,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Chrysler,Aspen,Limited,Suv,automatic,1a8hx58208f106449,California,,366136,gray,gray,san diego auto finder,4650,2450,-2200,-89.79591837,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,BMW,X5,4.8i,Suv,automatic,5uxfe83568l160572,California,38,60008,gray,black,bmw north scottsdale,18950,18500,-450,-2.432432432,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2008,BMW,X3,3.0si,Suv,automatic,wbxpc93408wj09112,California,,79136,silver,—,savarani motors,12700,12700,0,0,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23178d145812,California,24,98377,beige,beige,santander consumer,3550,4200,650,15.47619048,High Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,BMW,5 Series,535i,Sedan,automatic,wbanw13578cz72557,California,39,65939,gray,gray,auto city sales/leasing,14050,15500,1450,9.35483871,Medium Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:00:00
2008,BMW,3 Series,335xi,Sedan,automatic,wbavd53508a285526,California,,66585,white,white,lexus of san diego,14050,15100,1050,6.953642384,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:00:00
2009,Volkswagen,Jetta,Wolfsburg Edition PZEV,Sedan,automatic,3vwra71k89m038404,California,25,175520,black,gray,titlemax/upland ca1,5575,2900,-2675,-92.24137931,Low Margin,2015,1,1,2015-01,Thu Jan 29 2015 04:00:00
2008,bmw,750i,750i,,automatic,wbahl83568dt12664,California,37,79302,white,tan,stg auto group,16150,13500,-2650,-19.62962963,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:00:00
2008,Audi,A4,2.0T,Sedan,automatic,wauaf78e38a053421,California,,91681,black,—,elite auto sales/leasing,7725,9300,1575,16.93548387,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,BMW,5 Series,535i,Sedan,manual,wbanw13598ck93048,California,36,72086,black,black,jaguar land rover north scottsdale,13950,13500,-450,-3.333333333,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcec13j881142670,California,,160696,gray,—,magnum motors,10200,11500,1300,11.30434783,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Volkswagen,Touareg 2,VR6 FSI,Suv,automatic,wvgbe77l49d024497,California,36,96497,gray,black,merced volkswagen,10850,10400,-450,-4.326923077,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Acura,MDX,Base,Suv,automatic,2hnyd28428h536055,California,35,83795,gray,beige,ak international inc,16050,18000,1950,10.83333333,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Cadillac,CTS,Base,Sedan,automatic,1g6dp57v880124124,California,28,120433,silver,gray,merle stone chevrolet,9575,6900,-2675,-38.76811594,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 13:00:00
2008,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnec12018g191832,California,27,43732,black,black,high bid trading co inc,18400,23750,5350,22.52631579,High Margin,2014,12,4,2014-12,Wed Dec 31 2014 12:15:00
2008,Chevrolet,Colorado,LT,Crew Cab,automatic,1gcds43e888188726,California,47,89835,orange,black,skyhigh remarketing inc,12000,12750,750,5.882352941,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,BMW,X5,4.8i,Suv,automatic,5uxfe83568lz47263,California,,102962,black,—,khalcom motors inc,15250,15000,-250,-1.666666667,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,BMW,3 Series,328i,Coupe,automatic,wbawb33558p133222,California,35,108783,black,brown,jpmorgan chase bank n.a.,11500,10000,-1500,-15,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2008,BMW,3 Series,328i,Sedan,automatic,wbava33598p142522,California,39,102542,black,black,high bid trading co inc,8850,9250,400,4.324324324,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Toyota,Camry,LE,Sedan,automatic,4t4be46k89r096669,California,19,97495,silver,gray,santander consumer,7725,7300,-425,-5.821917808,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Chevrolet,Suburban,1500 LS,Suv,automatic,3gnfk16348g105229,California,36,147137,black,black,millennium cars,13500,12900,-600,-4.651162791,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Toyota,RAV4,Limited,Suv,automatic,2t3bk31v29w013694,California,29,56381,gray,beige,aaero sweet company,15300,15800,500,3.164556962,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 11:30:00
2008,Chrysler,300,C,Sedan,automatic,2c3lk63h18h179480,California,19,132324,black,black,aaero sweet company,7900,7400,-500,-6.756756757,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 11:30:00
2009,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u393489054,California,,121306,gray,—,detroit west auto wholesale,7100,8600,1500,17.44186047,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Mercedes-Benz,M-Class,ML350 4MATIC,Suv,automatic,4jgbb86e79a451482,California,42,74639,silver,black,high bid trading co inc,18300,16500,-1800,-10.90909091,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Chevrolet,Impala,SS,Sedan,automatic,2g1wd58c989277783,California,25,85743,—,tan,santander consumer,7725,6500,-1225,-18.84615385,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,BMW,3 Series,328i,Sedan,automatic,wbavc53568fz82172,California,27,95183,white,tan,san diego sports cars,9275,10500,1225,11.66666667,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Nissan,Quest,3.5 SL,Minivan,automatic,5n1bv28u89n105541,California,32,66321,blue,gray,santander consumer,7500,8000,500,6.25,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,Mercedes-Benz,M-Class,ML350 4MATIC,Suv,automatic,4jgbb86e59a512294,California,41,74300,silver,black,premium auto wholesale,18450,18750,300,1.6,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Chevrolet,Silverado 2500HD,LTZ,Crew Cab,,1gchk23658f104212,California,36,124944,white,black,aaero sweet company,24700,27500,2800,10.18181818,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 11:30:00
